"000010201540";"Enavis Networks Ltd.";"Multiplexador de Dados";"T::DAX";"T::DAX";"05/10/2017";""
"000010701397";"Siae Microelettronica S. P. A.               ";"Transceptor Digital                                                             ";"AL 7";"AL 7";"05/10/2017";"22/12/2012"
"000010800502";"MOTOROLA MOBILITY COMERCIO DE PRODUTOS ELETRONICOS LTDA";"Carregador de Bateria para Telefone Celular                                     ";"SPN5317A-FMP5317A";"SPN5317A-FMP5317A";"05/10/2017";"18/01/2010"
"000010800502";"MOTOROLA MOBILITY COMERCIO DE PRODUTOS ELETRONICOS LTDA";"Carregador de Bateria para Telefone Celular                                     ";"SPN5319A-FMP5317A";"SPN5319A-FMP5317A";"05/10/2017";"18/01/2010"
"000010800502";"MOTOROLA MOBILITY COMERCIO DE PRODUTOS ELETRONICOS LTDA";"Carregador de Bateria para Telefone Celular                                     ";"SPN5324A-FMP5324A";"SPN5324A-FMP5324A";"05/10/2017";"18/01/2010"
"000010800502";"MOTOROLA MOBILITY COMERCIO DE PRODUTOS ELETRONICOS LTDA";"Carregador de Bateria para Telefone Celular                                     ";"SPN5399A-FMP5317A";"SPN5399A-FMP5317A";"05/10/2017";"18/01/2010"
"000011003596";"Primax Electronics Ltd.";"Transceptor de Radiação Restrita                                                ";"A300-K";"A300-K";"05/10/2017";"29/12/2011"
"000011105138";"Coretronic Corporation";"Equipamento de Radiocomunicação de Radiação Restrita";"PBP II";"PBP II";"05/10/2017";"03/01/2015"
"000011200953";"Samsung Electronics Co Ltd.";"Telefone Móvel Celular";"GT-S7500L";"GT-S7500L";"05/10/2017";"25/01/2014"
"000011400256";"FURUKAWA ELECTRIC LATAM S.A.";"Fibra Óptica                                                                    ";"BLI A/B";"BLI A/B";"05/10/2017";""
"000011605607";"Intrack Ind. Com. Imp e Exp. de Equi. Elet. EIRELI";"Transceptor de Radiação Restrita                                                ";"MBT01";"MBT01";"05/10/2017";"13/12/2018"
"000011606080";"CalAmp Wireless Networks Corp.";"Estação Terminal de Acesso";"LMU-4225";"LMU-4225";"05/10/2017";"04/02/2017"
"000011708679";"Bladez Toyz Ltd.";"Equipamento de Radiocomunicação de Radiação Restrita";"BW-160519-02A (2.4 GHz)";"";"05/10/2017";"16/01/2019"
"000020201115";"Nortel Networks Ltd.";"Multiplex SDH - Equipamento STM-1";"TN-1P";"TN-1P";"05/10/2017";""
"000020703674";"CastleNet Technology Inc.";"Modem Analógico";"MA 820";"MA 820";"05/10/2017";"19/12/2009"
"000020800502";"MOTOROLA MOBILITY COMERCIO DE PRODUTOS ELETRONICOS LTDA";"Carregador de Bateria para Telefone Celular                                     ";"SPN5186B-5112";"SPN5186B-5112";"05/10/2017";"25/01/2011"
"000020800502";"MOTOROLA MOBILITY COMERCIO DE PRODUTOS ELETRONICOS LTDA";"Carregador de Bateria para Telefone Celular                                     ";"SPN5185B-5102";"SPN5185B-5102";"05/10/2017";"25/01/2011"
"000020800502";"MOTOROLA MOBILITY COMERCIO DE PRODUTOS ELETRONICOS LTDA";"Carregador de Bateria para Telefone Celular                                     ";"SPN5187B-5107";"SPN5187B-5107";"05/10/2017";"25/01/2011"
"000021005795";"EADS Defence and Secure Networks SAS";"Transceptor Troncalizado - Base                                                 ";"IBS8";"IBS8";"05/10/2017";"28/12/2011"
"000021105969";"F5 Networks";"Equipamento de Rede de Dados";"Big-IP 6900 Series";"Big-IP 6900 Series";"05/10/2017";""
"000021308627";"Falcom GmbH";"Estação Terminal de Acesso";"FOX-EN";"FOX-EN";"05/10/2017";"27/12/2016"
"000021308627";"Falcom GmbH";"Estação Terminal de Acesso";"FOX-IN ";"FOX-IN ";"05/10/2017";"27/12/2016"
"000021400256";"FURUKAWA ELECTRIC LATAM S.A.";"Fibra Óptica                                                                    ";"BLI A/B 200&#956;m";"BLI A/B 200&#956;m";"05/10/2017";""
